n_user: 974, n_item: 1015
metapath: UUB, epoch 300: loss = 5209.637207, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 350: loss = 5184.759277, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 400: loss = 5160.166016, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 450: loss = 5136.925781, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 500: loss = 5115.896484, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 550: loss = 5097.678711, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 600: loss = 5082.586426, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 650: loss = 5070.655273, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 700: loss = 5061.674316, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 750: loss = 5055.234863, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 800: loss = 5050.800293, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 850: loss = 5047.773926, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 900: loss = 5045.574219, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 950: loss = 5043.710938, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1000: loss = 5041.908691, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1050: loss = 5040.419434, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1100: loss = 5039.074707, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1150: loss = 5037.579102, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1200: loss = 5036.130859, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1250: loss = 5035.103516, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1300: loss = 5034.955078, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1350: loss = 5036.144043, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1400: loss = 5039.065430, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1450: loss = 5043.972168, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1500: loss = 5050.906250, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1550: loss = 5059.650879, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1600: loss = 5069.687988, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1650: loss = 5080.192871, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1700: loss = 5090.046875, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1750: loss = 5097.882812, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1800: loss = 5102.140625, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1850: loss = 5101.150391, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1900: loss = 5093.204590, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 1950: loss = 5076.640625, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2000: loss = 5049.895508, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2050: loss = 5011.553711, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2100: loss = 4960.356445, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2150: loss = 4895.187012, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2200: loss = 4815.023926, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2250: loss = 4718.863770, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2300: loss = 4605.611328, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
metapath: UUB, epoch 2350: loss = 4473.959473, lr = 0.000010, reg_user = 0.100000, reg_item = 0.100000
